TF,mean_delta,median_delta,n_targets
ZNF419,0.037007212603840794,0.037007212603840794,2
ZNF92,-0.03692007304607137,-0.03942509834554388,289
PHB2,0.03654511990971851,0.017535561625037804,37
TOX4,-0.036500084576480324,-0.026508771989771834,17
CIC,-0.03649602049319298,-0.03987089052179599,40
ZNF426,0.03630480209129738,0.03765578979755975,24
ZNF711,0.03576658068558835,0.004013646283765521,53
ZBTB18,0.03568230689107648,0.030172544497469183,123
NME2,0.03564235119466679,0.02989187081397099,21
GLI4,-0.03540453918632418,-0.03934548933467511,50
ZNF622,0.03536325056265379,0.04714266836019068,5
CASP8AP2,-0.03530738637576085,-0.03136639126247562,19
ZNF592,-0.035283607230959795,-0.036482725699655924,203
ZNF101,-0.035188087397961657,-0.030803836524775696,37
ZNF530,-0.03513325496995913,-0.06279613751425556,5
BARX1,0.035094933551211425,0.027035899516116818,83
ZNF707,-0.0350032754213596,-0.08890035725100413,10
COBLL1,0.03498249681129307,0.038488837444121904,20
LHX3,0.03497882563002119,0.046859170853411306,13
HDAC4,0.034802250403314604,0.038634576901394324,71
SRSF9,-0.03461551245551996,-0.03060800996317345,116
ZNF41,-0.03455975254418658,-0.04819249774398441,44
MAPK3,0.03448108545804687,-0.018083315880828392,14
HSD17B8,-0.03428579884349189,-0.01112087205960446,114
ZNF524,0.033788493345007824,0.05798403171243499,32
ZFP3,-0.033250376931070316,-0.026044872057682203,62
TAFAZZIN,0.03324177964017779,0.025574083105490225,92
CREB3L4,-0.033113388701837006,-0.04220916296940817,132
HOXB6,-0.03309351042097376,-0.046896278057772,45
PAX3,0.0330435107860701,0.038671025335628995,289
RUVBL1,0.03304211471452874,0.03358047195625445,13
UBE2I,-0.032771952230494304,-0.015721190056987258,8
FOXD3,0.03244260677419958,0.01714839979367043,6
FOXD2,-0.03175702378709048,-0.02519012484977412,109
METTL14,-0.031676422544064255,-0.017399895917797142,19
ZNF407,-0.03156609901793449,-0.02977462277452053,129
ZNF560,0.03128152688404352,0.05383403826440883,7
HOXC11,0.03119390747181579,0.0023268687249660483,9
ZBED5,-0.03077454108484298,-0.04108305516310205,175
DBP,-0.03049969551917869,-0.01818274821600213,77
SIX1,-0.03041218876755151,-0.021576046368774242,85
ZNF502,0.029908709579563826,0.024569530546494772,6
SOX3,-0.02980140457366917,-0.034293784375654245,86
SIRT3,0.02957323657936231,0.07419565336025241,3
ZNF785,0.029358783574806938,0.06429280749978848,9
LMNB2,0.029348387969269293,0.023133345898286327,4
ADA2,0.029292393776771376,0.03674275973339052,74
ZNF512B,-0.029252499480784615,-0.0442682506683271,56
ZNF362,0.028994421342132808,0.041485139989979256,82
NPM1,0.028872008511491347,0.027202316547972016,18
ZNF529,-0.02874765471692658,-0.061881959935953294,6
ZNF394,0.028314973881598784,0.02657106356002882,156
MED25,-0.028238474067432608,-0.05597927118182,34
ZNF547,-0.02811390379523296,-0.04522560532692807,49
ZNF784,0.028111969434869873,0.03169486520079448,27
CBX7,-0.028083632104038147,-0.026096792278756727,176
AUTS2,0.028040397851893998,0.03613599059449262,88
ZNF558,0.027848562069210287,0.021296832788300593,36
ZNF490,-0.027355633305069557,-0.02900675477887972,70
ZNF618,0.027184390255703936,0.023576647002941195,217
MYBL1,0.02717052236681226,0.025226152945216195,46
ARNT2,-0.027151158096019652,-0.05780934454079585,35
SIGMAR1,-0.02708471180425983,-0.03616380183996243,3
ZNF486,-0.026996917748080933,-0.036847855433654965,42
ZNF548,-0.026988624881398457,-0.018075457541236913,10
ADCYAP1,0.026842872331489402,0.026842872331489402,1
TBX1,-0.02681895004847199,-0.06268398511336262,33
ZNF582,-0.026817758379270036,-0.0290214279122517,3
ZNF454,-0.02675480965071398,0.08922188724054224,3
ZNF329,-0.026423340091642475,-0.012076884436391072,65
INSM2,-0.026107496980042513,-0.03479710552728628,108
NR1D1,-0.02582573834124306,-0.007994971003170887,8
ZNF354B,-0.025414428540509255,-0.004487895657642935,12
CENPT,0.025258589384172338,0.026472848916498808,18
